名称,评分,种类,地区,链接,海报
当幸福来敲门,9.0,剧情,美国,https://movie.douban.com/subject/1849031/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg
指环王2：双塔奇兵,9.0,剧情,美国,https://movie.douban.com/subject/1291572/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
死亡诗社,9.0,剧情,美国,https://movie.douban.com/subject/1291548/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg
搏击俱乐部,9.0,剧情,美国,https://movie.douban.com/subject/1292000/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
飞越疯人院,9.0,剧情,美国,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
完美的世界,9.0,剧情,美国,https://movie.douban.com/subject/1300992/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792403691.jpg
将军号,9.0,剧情,美国,https://movie.douban.com/subject/1292778/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.jpg
无翼鸟,9.0,剧情,美国,https://movie.douban.com/subject/2338160/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2508642718.jpg
纽伦堡的审判,9.0,剧情,美国,https://movie.douban.com/subject/1292589/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p922207281.jpg
海蒂,9.0,剧情,美国,https://movie.douban.com/subject/1925081/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2270779943.jpg
我自己的瑞凡,9.0,剧情,美国,https://movie.douban.com/subject/6861576/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2294658138.jpg
小丘月圆,9.0,剧情,美国,https://movie.douban.com/subject/1302752/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2334104591.jpg
蝙蝠侠：阿卡姆骑士,9.0,剧情,美国,https://movie.douban.com/subject/26381654/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2252743877.jpg
霸王别姬,9.5,剧情,香港,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg
背靠背~脸对脸,9.4,剧情,香港,https://movie.douban.com/subject/1307856/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
Small Matters 音乐录像故事,9.4,剧情,香港,https://movie.douban.com/subject/2295463/,https://img1.doubanio.com/view/subject/l/public/s2752638.jpg
幸福的旁边,9.2,剧情,香港,https://movie.douban.com/subject/26879897/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2503447611.jpg
无间道,9.1,剧情,香港,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg
活着,9.1,剧情,香港,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
南海十三郎,9.1,剧情,香港,https://movie.douban.com/subject/1303913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg
上海滩,9.0,剧情,香港,https://movie.douban.com/subject/6311260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg
饮食男女,9.1,剧情,台湾,https://movie.douban.com/subject/1291818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
时之繁花,9.1,剧情,台湾,https://movie.douban.com/subject/25774028/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2216519411.jpg
少年派的奇幻漂流,9.0,剧情,台湾,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
无言的山丘,9.0,剧情,台湾,https://movie.douban.com/subject/1298944/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522310203.jpg
长假,9.0,剧情,台湾,https://movie.douban.com/subject/3098844/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153135246.jpg
银魂：白夜叉降诞预告,9.5,剧情,日本,https://movie.douban.com/subject/4236817/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2214620528.jpg
银魂：无论什么事开始虽然重要但伸个懒腰的话也不错,9.5,剧情,日本,https://movie.douban.com/subject/4116936/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221047675.jpg
北国之恋：1987初恋,9.5,剧情,日本,https://movie.douban.com/subject/3794147/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2472830331.jpg
北国之恋：1984夏天,9.5,剧情,日本,https://movie.douban.com/subject/3794146/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2472828763.jpg
北国之恋：1989归乡,9.5,剧情,日本,https://movie.douban.com/subject/3794149/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2522940189.jpg
